"","Velocity (km/s)","Altitude (km)"
"1",22.6,27
"2",19.7,25
"3",20.1,38.2
"4",14.6,39
"5",30.8,38.8
"6",22.4,41.5
"7",15.3,29.2
"8",16.2,28.7
"9",35.4,44.3
"10",12.6,26.5
"11",39.2,56
"12",36.5,42
"13",40.4,74.3
"14",13.9,39
"15",25.6,42.1
"16",31.3,33.1
"17",14.4,23
"18",28.3,37
"19",26,31.7
"20",20.6,24.1
"21",18.3,37
"22",17.6,33.8
"23",30.2,44.2
"24",19.8,35.3
"25",19.3,37
"26",16.1,35.4
"27",21.8,44
"28",15.6,36.1
"29",25.7,38.3
"30",16.5,40.4
"31",27.9,29
"32",16.2,29.6
"33",17.2,41.4
"34",22.1,31.2
"35",46.4,61.8
"36",25.3,32
"37",23,37
"38",15.6,32.3
"39",14.2,38
"40",17.5,33.5
"41",16.7,27
"42",16.4,32.3
"43",18.7,20
"44",21.7,26
"45",17.4,35.8
"46",21.9,14
"47",29.9,37.5
"48",19.8,38.1
"49",15.2,33.6
"50",17.4,32.7
"51",16,32.2
"52",20.2,22
"53",20.1,19
"54",24.9,41.1
"55",12.7,28.4
"56",20.6,23.8
"57",19.7,31.5
"58",19.6,29
"59",18.2,56.7
"60",17.2,33.3
"61",21.5,32.4
"62",13.1,26.5
"63",22.8,36
"64",20,36.6
"65",22.8,40.8
"66",22,44
"67",18.2,56
"68",19.7,38.4
"69",23,35
"70",15.9,30
"71",27.5,31.4
"72",21.2,28
"73",13.6,26
"74",14.7,26.4
"75",15.7,43.4
"76",26.6,31
"77",14.1,44.4
"78",14.1,40
"79",18.1,31.1
"80",23.3,32.5
"81",13.1,31
"82",12.8,20
"83",15.2,39.4
"84",14.3,30
"85",19.2,37.5
"86",14.4,33
"87",15.2,28.3
"88",13.6,35.5
"89",19.6,28.1
"90",16.7,22.3
"91",17.6,28.5
"92",17.6,40
"93",16.4,36
"94",11.7,46
"95",23.4,27.8
"96",11.1,38
"97",14.1,31.6
"98",18.3,29.4
"99",14.9,29.3
"100",14.5,31.2
"101",20.7,26.5
"102",19.8,24.3
"103",21.5,34.5
"104",31.7,41.7
"105",19.8,32.5
"106",21.2,32
"107",27.4,43.3
"108",15.5,14.5
"109",12.9,27.8
"110",22.2,35.5
"111",17.8,37
"112",13,35
"113",24.7,22.5
"114",27.4,38
"115",14.1,47.3
"116",20.4,52
"117",15.9,38
"118",13.5,27.4
"119",18.5,42
"120",17.2,30.6
"121",13.4,39.8
"122",14.9,36
"123",16.1,30.6
"124",42.3,59
"125",14.9,25
"126",17.5,24.4
"127",15.8,29.2
"128",11.5,31.5
"129",15.2,33.3
"130",11.4,33.3
"131",15.9,30.6
"132",18.1,41.5
"133",16.2,28.7
"134",14.4,31.5
"135",20.8,26
"136",16.3,23.7
"137",11.6,42.5
"138",16.5,31.8
"139",13.6,26
"140",17.4,27.4
"141",19.1,32.5
"142",14.7,31.5
"143",16.5,33
"144",12.5,40.7
"145",16.1,33
"146",24.4,43.3
"147",14.1,63
"148",14.4,27.2
"149",16.9,28.7
"150",11.5,39
"151",13.1,34
"152",14.6,28.2
"153",20.9,30
"154",10.9,31.5
"155",13.1,31.5
"156",16.5,37
"157",23.7,43.6
"158",21,26
"159",31.4,20
"160",11.4,33.3
"161",16.7,35.4
"162",15.9,24.1
"163",14.6,37
"164",14.7,36
"165",17.2,38
"166",13.7,35
"167",15.2,20
"168",24.3,35.1
"169",13.6,33.3
"170",18.4,46
"171",21.5,32.4
"172",36.5,23
"173",12.2,25.4
"174",24.2,38
"175",29.7,42
"176",17.4,30.6
"177",14.2,27.8
"178",17.5,40
"179",18.3,54
"180",14.9,34.3
"181",25.1,38.2
"182",29.1,33.3
"183",14.5,28.7
"184",20.8,30.6
"185",12.2,41.7
"186",17.1,31.5
"187",15.1,35.2
"188",13.3,42
"189",11.7,31.8
"190",17.9,44
"191",15.5,39.4
"192",15.6,31
"193",11.5,37
"194",18.1,42.5
"195",12.1,42.2
"196",12.9,38.9
"197",11.8,51.8
"198",16.1,44.4
"199",21,29.3
"200",24.1,39.8
"201",17.8,22
"202",49,46.3
"203",31.9,32.4
"204",12.2,29.6
"205",17.3,37
"206",12.9,26.7
"207",21.3,37.4
"208",19.2,36.3
"209",13.8,33.1
"210",19.9,35.2
"211",18,39.8
"212",21.1,33.7
"213",28.8,39
"214",17.5,36
"215",35.7,45.5
"216",18.1,38.1
"217",21.7,30.7
"218",12,26.3
"219",13.4,26.1
"220",25.3,23.3
"221",19.9,37
"222",16,22.2
"223",16.9,27.2
"224",16.2,22.2
"225",12.4,26.3
"226",11.2,28.5
"227",18,30.8
"228",16.5,44
"229",19,35.4
"230",16.3,30.7
"231",16.2,37
"232",44.8,18.7
"233",15.1,34.3
"234",11.8,23.5
"235",12.4,59.3
"236",12.8,22.2
"237",17.8,29.1
"238",18.8,25.6
"239",22.1,26.5
"240",12.1,21.2
"241",14.9,40.7
"242",18.6,23.3
"243",14.3,33.3
"244",13.2,29.3
"245",13.5,27.8
"246",15.4,35
"247",18.3,28.1
"248",16.9,23.8
"249",28.9,38.7
"250",12.7,36
"251",18.5,26.8
"252",17.1,33.3
"253",11.8,25
"254",12.2,34.2
"255",12.3,26.3
"256",16.7,21.3
"257",11.6,59
"258",12.7,22.2
"259",11.9,30.6
"260",18,44.4
"261",18.1,26
"262",12.3,33.3
"263",15.7,26
"264",18.8,22.2
"265",24.5,52
"266",15.1,37
"267",14,25
"268",32.1,38
"269",19.2,19.1
"270",24,28.3
"271",12.2,34
"272",15.2,26.1
"273",19.1,32.4
"274",15.4,40
"275",24.1,21.1
"276",23.7,34.8
"277",12.9,28.2
"278",22.4,35.2
"279",11.3,29.6
"280",13.3,38.9
"281",13.8,45.4
"282",14.5,31.5
"283",21.7,52.2
"284",9.8,36.1
"285",23.1,33.7
"286",14.2,37
"287",12.9,26.7
"288",13.9,40.4
"289",11.6,31.5
"290",18.4,37
"291",16.9,30.2
"292",17,35.2
"293",24.4,38
"294",14.5,32.5
"295",13.4,32
"296",15.9,26.5
"297",23.9,44.4
"298",14.2,44.1
"299",12.4,29.6
"300",30.2,38.9
"301",19.6,40.7
"302",19.8,38.9
"303",18.7,37
"304",16.9,32.4
"305",20.7,42.2
"306",17,32.2
"307",13.8,30.7
"308",16.9,37
"309",26.2,29.6
"310",16.6,15.2
"311",16.8,38.5
"312",21.5,35.2
"313",19.2,35
"314",19.5,43
"315",16.3,29.6
"316",25.6,35
"317",20.1,23
"318",18.2,26
"319",17.1,30
