"","lat_band","lon_band","count"
"1","[-90,-70]","[-180,-160]",2
"2","[-90,-70]","(-120,-100]",2
"3","[-90,-70]","(-80,-60]",1
"4","[-90,-70]","(-20,0]",2
"5","[-90,-70]","(20,40]",1
"6","[-90,-70]","(40,60]",1
"7","[-90,-70]","(60,80]",2
"8","[-90,-70]","(80,100]",1
"9","[-90,-70]","(140,160]",2
"10","[-90,-70]","(160,180]",1
"11","(-70,-50]","[-180,-160]",4
"12","(-70,-50]","(-160,-140]",4
"13","(-70,-50]","(-140,-120]",2
"14","(-70,-50]","(-120,-100]",5
"15","(-70,-50]","(-100,-80]",1
"16","(-70,-50]","(-80,-60]",5
"17","(-70,-50]","(-60,-40]",3
"18","(-70,-50]","(-40,-20]",3
"19","(-70,-50]","(-20,0]",4
"20","(-70,-50]","(0,20]",5
"21","(-70,-50]","(20,40]",1
"22","(-70,-50]","(40,60]",5
"23","(-70,-50]","(60,80]",2
"24","(-70,-50]","(80,100]",4
"25","(-70,-50]","(100,120]",3
"26","(-70,-50]","(120,140]",7
"27","(-70,-50]","(140,160]",7
"28","(-70,-50]","(160,180]",7
"29","(-50,-30]","[-180,-160]",10
"30","(-50,-30]","(-160,-140]",2
"31","(-50,-30]","(-140,-120]",2
"32","(-50,-30]","(-120,-100]",2
"33","(-50,-30]","(-100,-80]",9
"34","(-50,-30]","(-80,-60]",3
"35","(-50,-30]","(-60,-40]",5
"36","(-50,-30]","(-40,-20]",7
"37","(-50,-30]","(-20,0]",11
"38","(-50,-30]","(0,20]",4
"39","(-50,-30]","(20,40]",11
"40","(-50,-30]","(40,60]",8
"41","(-50,-30]","(60,80]",10
"42","(-50,-30]","(80,100]",8
"43","(-50,-30]","(100,120]",4
"44","(-50,-30]","(120,140]",8
"45","(-50,-30]","(140,160]",6
"46","(-50,-30]","(160,180]",5
"47","(-30,-10]","[-180,-160]",8
"48","(-30,-10]","(-160,-140]",5
"49","(-30,-10]","(-140,-120]",3
"50","(-30,-10]","(-120,-100]",4
"51","(-30,-10]","(-100,-80]",8
"52","(-30,-10]","(-80,-60]",7
"53","(-30,-10]","(-60,-40]",5
"54","(-30,-10]","(-40,-20]",6
"55","(-30,-10]","(-20,0]",10
"56","(-30,-10]","(0,20]",4
"57","(-30,-10]","(20,40]",11
"58","(-30,-10]","(40,60]",10
"59","(-30,-10]","(60,80]",6
"60","(-30,-10]","(80,100]",7
"61","(-30,-10]","(100,120]",6
"62","(-30,-10]","(120,140]",8
"63","(-30,-10]","(140,160]",8
"64","(-30,-10]","(160,180]",6
"65","(-10,10]","[-180,-160]",7
"66","(-10,10]","(-160,-140]",8
"67","(-10,10]","(-140,-120]",9
"68","(-10,10]","(-120,-100]",7
"69","(-10,10]","(-100,-80]",7
"70","(-10,10]","(-80,-60]",11
"71","(-10,10]","(-60,-40]",10
"72","(-10,10]","(-40,-20]",11
"73","(-10,10]","(-20,0]",7
"74","(-10,10]","(0,20]",7
"75","(-10,10]","(20,40]",8
"76","(-10,10]","(40,60]",9
"77","(-10,10]","(60,80]",8
"78","(-10,10]","(80,100]",9
"79","(-10,10]","(100,120]",12
"80","(-10,10]","(120,140]",8
"81","(-10,10]","(140,160]",11
"82","(-10,10]","(160,180]",9
"83","(10,30]","[-180,-160]",4
"84","(10,30]","(-160,-140]",7
"85","(10,30]","(-140,-120]",14
"86","(10,30]","(-120,-100]",10
"87","(10,30]","(-100,-80]",8
"88","(10,30]","(-80,-60]",10
"89","(10,30]","(-60,-40]",8
"90","(10,30]","(-40,-20]",8
"91","(10,30]","(-20,0]",7
"92","(10,30]","(0,20]",3
"93","(10,30]","(20,40]",4
"94","(10,30]","(40,60]",7
"95","(10,30]","(60,80]",8
"96","(10,30]","(80,100]",6
"97","(10,30]","(100,120]",7
"98","(10,30]","(120,140]",6
"99","(10,30]","(140,160]",5
"100","(10,30]","(160,180]",6
"101","(30,50]","[-180,-160]",12
"102","(30,50]","(-160,-140]",4
"103","(30,50]","(-140,-120]",5
"104","(30,50]","(-120,-100]",7
"105","(30,50]","(-100,-80]",4
"106","(30,50]","(-80,-60]",5
"107","(30,50]","(-60,-40]",7
"108","(30,50]","(-40,-20]",11
"109","(30,50]","(-20,0]",5
"110","(30,50]","(0,20]",11
"111","(30,50]","(20,40]",8
"112","(30,50]","(40,60]",5
"113","(30,50]","(60,80]",3
"114","(30,50]","(80,100]",10
"115","(30,50]","(100,120]",15
"116","(30,50]","(120,140]",5
"117","(30,50]","(140,160]",5
"118","(30,50]","(160,180]",5
"119","(50,70]","[-180,-160]",3
"120","(50,70]","(-160,-140]",6
"121","(50,70]","(-140,-120]",1
"122","(50,70]","(-120,-100]",2
"123","(50,70]","(-100,-80]",2
"124","(50,70]","(-80,-60]",1
"125","(50,70]","(-60,-40]",2
"126","(50,70]","(-40,-20]",2
"127","(50,70]","(-20,0]",1
"128","(50,70]","(0,20]",4
"129","(50,70]","(20,40]",3
"130","(50,70]","(40,60]",3
"131","(50,70]","(60,80]",4
"132","(50,70]","(80,100]",2
"133","(50,70]","(100,120]",6
"134","(50,70]","(140,160]",3
"135","(50,70]","(160,180]",4
"136","(70,90]","[-180,-160]",1
"137","(70,90]","(-140,-120]",2
"138","(70,90]","(-100,-80]",2
"139","(70,90]","(-80,-60]",4
"140","(70,90]","(-60,-40]",1
"141","(70,90]","(-20,0]",1
"142","(70,90]","(0,20]",1
"143","(70,90]","(80,100]",1
"144","(70,90]","(100,120]",2
"145","(70,90]","(140,160]",2
"146","(70,90]","(160,180]",1
"147",NA,NA,191
